source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,radial_velocity,radial_velocity_error,ruwe,phi1,phi2,pm_phi1,pm_phi2
1562569300546710912,203.8115010527225,56.02371780764624,0.0607874881613561,0.14310962,-7.9332319623519485,0.13132207,-2.838347429456037,0.1602245,18.561378,18.667675,18.005434,0.662241,,,1.0145267,42.29511124258858,-4.331818508175491,-8.295476217607593,-1.4756218424410317
1562554388420479488,204.1953011458551,55.995098656720856,0.1335038880390067,0.10657095,-8.259008945970233,0.09465848,-2.976195209370748,0.112776816,18.149609,18.375717,17.767418,0.60829926,,,1.0248488,42.50268711035661,-4.3952157077744,-8.630454630754942,-1.6075507955826356
1573416876107758848,180.6038060279284,55.35762172595275,-0.5350063646727873,0.5018732,-7.561162883228791,0.4633376,-8.440347421792216,0.4762435,20.22236,20.49932,19.713793,0.7855263,,,1.0564959,29.79394321237304,-0.5880288198632525,-10.730277931614438,-3.643046013651134
1573486145340280576,183.35548342958413,54.9096963742672,0.2866463289680349,0.13235338,-7.726828537699871,0.1139115,-6.726753666972409,0.13057578,18.546001,18.799953,18.135721,0.66423225,,,0.99675906,30.967768172540573,-1.727066886518662,-9.943307428903942,-2.466522151014157
1573559159784805376,182.48495390238352,55.46027501510271,0.7370136555359346,0.45539686,-7.115282502767602,0.47965923,-6.998672609339206,0.43103123,20.136972,20.389286,19.668474,0.72081184,,,1.0419595,30.780709982749443,-1.0093142552224037,-9.559612182401867,-2.867486409554459
1562533222821833600,204.94889648476573,56.10980029894663,0.1088244730754843,0.73793447,-9.106598259539949,0.9017294,-3.409047446441959,1.1809675,20.710741,21.105804,20.138294,0.9675102,,,1.0480436,42.937491977148845,-4.347280786494664,-9.514240948503856,-2.00772396672474
1562679359084509696,204.7394014784072,56.33718548848049,0.0925566903038274,0.09835298,-7.16919033555661,0.10920627,-5.526179258395069,0.10420315,18.304295,18.576855,17.89055,0.6863041,,,1.0254211,42.85652601004105,-4.104898434624052,-7.92927523714341,-4.366067049070425
1562651935717640448,205.5682613031824,56.60030492492544,0.3956086063848099,0.5639544,-10.008090155505569,0.53850156,-3.422903222364844,0.79144263,20.496252,20.885366,19.979849,0.9055176,,,1.0011512,43.349192410971895,-3.9117043171201806,-10.389228710106371,-1.985462626065928
1573667496039654016,182.84493204460827,55.81128790565618,0.2318312717587893,0.58227986,-8.251926961093863,0.5429208,-6.722307010692626,0.586227,20.442783,20.634785,19.906662,0.7281227,,,1.0319595,31.123738490535747,-0.7928518864625291,-10.424578661878542,-2.147526446761875
1562723885010161536,205.0287612667121,56.91763432916711,-9.032094226507636e-05,0.25523716,-8.06086845627542,0.25112492,-3.0587676081336594,0.28897578,19.765686,20.097334,19.37798,0.7193546,,,0.9456019,43.10181431849757,-3.5550282727953326,-8.42538457475316,-1.8293589908640968
1562448663505279232,206.4512926080481,56.3436459614164,-0.6055250802940716,0.34573886,-7.812939025874032,0.39920327,-2.837749826877377,0.3789507,20.052706,20.397089,19.60915,0.7879391,,,1.007954,43.79939916874077,-4.231222250440139,-8.110000434105341,-1.822836597388604
1573791019299183104,181.432506291789,56.055117967479966,0.358548307377228,0.12809317,-7.011566540452101,0.117495745,-5.196309277797801,0.11703568,18.460289,18.696068,18.088064,0.6080036,,,1.1211517,30.54079544878041,-0.2049735119199995,-8.645603295672164,-1.1904785237783857
1573977867556126720,180.7363332158677,56.801955226277606,-0.0446354656270736,0.12888971,-8.842593566901035,0.121894516,-7.800641752142871,0.1328927,18.645132,18.854174,18.296871,0.5573025,,,1.0239211,30.566048400998383,0.6348541367353773,-11.52808669062426,-2.478848520609108
1562705468189627520,204.43767239166027,56.69376772968058,-0.4615941786009221,0.4023306,-8.647377899160453,0.36373636,-3.5179341940924416,0.49419606,20.059488,20.455233,19.609436,0.8457966,,,1.05485,42.747087061154446,-3.726823595137023,-9.092965751810802,-2.114469049489571
1564321960736351360,196.3673276076869,54.79020493170011,0.7991559258660041,1.6497976,-7.99452191718313,1.2880422,-6.74748251660667,1.8833747,20.879585,21.022331,20.040066,0.9822655,,,1.0902593,37.88934437428342,-4.593797185219223,-9.550205036232912,-4.270185565305757
1574063973060516736,187.07254348650525,55.11887194727228,0.2379480555274162,0.19189231,-6.171184217316893,0.16561581,-5.801259592066389,0.19292367,19.006346,19.264023,18.554739,0.7092838,,,1.0326735,32.98187899330603,-2.4576381365304814,-7.996809610849166,-2.790907298072405
1563818861152499328,199.78390068297324,55.14779900565696,-0.0109113065132026,0.5050906,-7.348760072054722,0.48033413,-2.0001424078604795,0.56861943,20.242939,20.54799,19.698736,0.8492546,,,1.1458849,39.883744521102834,-4.7419928642828335,-7.610917952006441,-0.2806638134382293
1563827176209125888,199.37133298867704,55.07939719007356,0.6793058674586748,0.70390534,-9.439941491026712,0.73088306,-6.21377874054835,0.7850197,20.729378,21.211187,20.294542,0.91664505,,,1.0971153,39.63752596398223,-4.754304772264388,-10.627850322486534,-3.843480078434273
1564382124639279872,195.8347885946036,55.09989356513,0.6355505706149723,0.74270946,-9.388057057612606,0.86201453,-6.037943244703648,0.92396057,20.619503,20.929335,19.922577,1.0067577,,,1.0320333,37.68207549775885,-4.210711855868314,-10.717727862815384,-3.1181217747039733
1562526144715508992,204.4875738797817,55.866250382505775,-0.0496371420090242,0.17131472,-8.700087490856763,0.17038763,-3.5943456214017804,0.19148977,18.983297,19.164337,18.64299,0.52134705,,,0.9742469,42.64430425641187,-4.548433682451401,-9.155734819949544,-2.1870900076165034
1564697096064767744,198.64112371909405,56.31901209809807,-0.391804811795591,0.5894343,-10.75409323048198,0.5990528,-7.581530937268079,0.6290756,20.36577,20.827393,19.889872,0.937521,,,0.982934,39.53281357409517,-3.4523758903460022,-12.275685607662922,-4.7368423474366095
1574494775460204032,185.5295808254567,56.82569828350422,0.4200367363296223,0.29321003,-6.073506105170738,0.2742435,-4.933371877260157,0.29559958,19.694452,20.009108,19.308517,0.70059013,,,0.97470474,32.90829399956992,-0.5463787905593331,-7.598353029453191,-1.8683323389287965
1564267118298635904,195.77470301002543,54.52341614894918,0.50390579720725,0.5956242,-8.488847033045278,0.58551544,-6.336636512043295,0.6752924,20.50341,20.882631,20.006592,0.8760395,,,1.0142074,37.4839921882994,-4.753416166507509,-9.944744690173046,-3.649046352607321
1564291651151972736,195.62271403686395,54.9565885908962,-0.2216547544046846,0.346614,-8.050161641074611,0.40114444,-3.6920465302557774,0.41099688,20.04062,20.234194,19.423523,0.81067085,,,0.90967345,37.52417595194327,-4.313266178496026,-8.77181561608493,-1.2212947336377749
1562675884455077120,205.17476281231035,56.85672597028815,0.9062838152290418,0.84883994,-12.99867514666586,0.8838367,-2.599802390806324,1.6450032,20.710102,20.808578,20.014208,0.79437065,,,1.1238592,43.17187457200821,-3.627015435741363,-13.239049878182124,-0.6723736779476874
1562493090647132800,204.3353569381772,55.58457389529315,0.4190022670205978,0.25992426,-6.9828287942532405,0.24415289,-3.9711207817044776,0.29655588,19.522886,19.91526,19.129314,0.7859459,,,0.943233,42.5147682736381,-4.813050503985743,-7.525409188360012,-2.810322896124932
1564741493142730880,196.61417917453764,55.43644625379684,0.925824906248376,0.9999602,-13.47061608528948,0.95162565,-6.384708110751401,1.3533293,20.761454,21.087273,20.071983,1.0152893,,,0.91377556,38.20367869698448,-4.011292861731544,-14.702162454738314,-2.463415216977728
